model,auc,auc_ci_low,auc_ci_high,accuracy,sensitivity,specificity,precision
Random Forest,0.7019325552620195,0.6756607169803186,0.7286238070330223,0.6380735692629659,0.5218293329295071,0.7375416781799761,0.6222222222222222
XGBoost,0.6868772719541977,0.6556328008795189,0.7149138629931979,0.6292337205870517,0.5101398248403625,0.7311715943630837,0.6052631578947368
Logistic Regression,0.6960365204649505,0.6713277932268426,0.7293988068292052,0.6410200960532317,0.5775724994321193,0.695320070000921,0.6021505376344086
